epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.631,1.175,1.99051,1.56286,0.44945,0.47099,0.41206,0.23859,1.51405,2.96984,1.90035,0.0670486,0.000332842,0.000332842
2,436.289,1.14322,1.6828,1.53654,0.69255,0.6438,0.68187,0.44622,1.15567,1.40049,1.55073,0.0340486,0.000666135,0.000666135
3,630.48,1.14903,1.65505,1.54434,0.72544,0.675,0.70591,0.48164,1.00031,1.2943,1.38768,0.00104836,0.000999265,0.000999265
4,820.458,1.10718,1.55988,1.51224,0.69431,0.64116,0.69394,0.46826,1.0258,1.27962,1.40776,0.00099945,0.00099945,0.00099945
5,1012.98,1.07621,1.4781,1.49087,0.81253,0.6994,0.77902,0.56503,0.90592,1.09494,1.30566,0.000999023,0.000999023,0.000999023
6,1204.52,1.04791,1.42532,1.46728,0.81471,0.66024,0.75218,0.54874,0.85405,1.16483,1.25692,0.000998474,0.000998474,0.000998474
7,1394.24,1.03535,1.36397,1.45187,0.76503,0.70374,0.75811,0.54813,0.90606,1.128,1.29755,0.000997803,0.000997803,0.000997803
8,1584.65,1.02191,1.33099,1.44603,0.74173,0.68543,0.745,0.5655,0.8424,1.18626,1.252,0.000997011,0.000997011,0.000997011
9,1774.25,1.00566,1.30019,1.43518,0.72578,0.73339,0.77578,0.57578,0.88114,1.02434,1.27115,0.000996097,0.000996097,0.000996097
10,1964.54,0.99116,1.26763,1.42344,0.83191,0.75225,0.82213,0.61338,0.81078,0.94708,1.21529,0.000995062,0.000995062,0.000995062
11,2157.38,0.98472,1.26286,1.41805,0.7859,0.77467,0.81341,0.60928,0.82185,0.95078,1.21129,0.000993906,0.000993906,0.000993906
12,2349.56,0.97293,1.22329,1.39585,0.73971,0.75687,0.78318,0.58189,0.85098,0.98248,1.24448,0.000992629,0.000992629,0.000992629
13,2539.56,0.96323,1.18746,1.39571,0.76761,0.72877,0.77063,0.58163,0.81287,1.08907,1.23039,0.000991232,0.000991232,0.000991232
14,2729.68,0.94391,1.16915,1.38759,0.85953,0.73153,0.80632,0.60473,0.80085,0.99184,1.21254,0.000989715,0.000989715,0.000989715
15,2921,0.9435,1.15144,1.38282,0.78107,0.71227,0.78165,0.58474,0.79428,0.94175,1.19619,0.000988079,0.000988079,0.000988079
16,3114.2,0.94628,1.14116,1.37311,0.81773,0.73343,0.82678,0.62155,0.81076,0.90707,1.21751,0.000986323,0.000986323,0.000986323
17,3305.6,0.94681,1.13085,1.37968,0.83657,0.7205,0.80759,0.61411,0.7946,1.00237,1.20814,0.000984449,0.000984449,0.000984449
18,3495.88,0.93346,1.11097,1.36846,0.86459,0.73401,0.8248,0.64101,0.75639,0.90921,1.17108,0.000982456,0.000982456,0.000982456
19,3686.13,0.90728,1.08155,1.35579,0.80648,0.78962,0.82225,0.61298,0.77828,0.88993,1.17596,0.000980345,0.000980345,0.000980345
20,3896.03,0.91723,1.07272,1.35646,0.81145,0.75243,0.82687,0.62163,0.78044,0.84917,1.18985,0.000978118,0.000978118,0.000978118
21,4086.42,0.88734,1.04478,1.34336,0.85438,0.74053,0.81143,0.62943,0.79219,0.95419,1.19283,0.000975773,0.000975773,0.000975773
22,4277.08,0.90974,1.0695,1.35714,0.84892,0.70942,0.8015,0.60503,0.82233,0.90563,1.22023,0.000973312,0.000973312,0.000973312
23,4467.24,0.89471,1.05338,1.34475,0.84983,0.76996,0.8472,0.64916,0.78239,0.84819,1.18458,0.000970736,0.000970736,0.000970736
24,4657.2,0.8725,1.00589,1.33307,0.83858,0.75432,0.82397,0.63593,0.80219,0.89275,1.19072,0.000968045,0.000968045,0.000968045
25,4847.38,0.89828,1.01933,1.34384,0.84229,0.79378,0.8297,0.64356,0.75467,0.85346,1.14206,0.000965239,0.000965239,0.000965239
26,5037.43,0.88395,1.00647,1.33842,0.86935,0.76675,0.83357,0.6392,0.78654,0.8921,1.18346,0.00096232,0.00096232,0.00096232
27,5227.45,0.86386,0.97245,1.31862,0.88727,0.77543,0.85484,0.65629,0.78161,0.78275,1.17554,0.000959289,0.000959289,0.000959289
28,5417.72,0.87386,0.97726,1.3245,0.84865,0.74986,0.81005,0.63193,0.79397,0.91821,1.21646,0.000956145,0.000956145,0.000956145
29,5607.84,0.86688,0.97149,1.32146,0.85841,0.77271,0.83656,0.65543,0.74409,0.78643,1.14703,0.000952889,0.000952889,0.000952889
30,5798.2,0.85697,0.95427,1.31533,0.85285,0.80566,0.87463,0.67578,0.73879,0.74694,1.15043,0.000949524,0.000949524,0.000949524
31,5989.09,0.8589,0.95256,1.31404,0.81752,0.74909,0.81147,0.63488,0.75712,0.90588,1.15065,0.000946048,0.000946048,0.000946048
