epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3827,1.10628,2.65332,1.39922,0.30314,0.55566,0.3739,0.26023,1.03858,2.46221,1.23135,0.00331349,0.00331349,0.00331349
2,130.221,1.15832,1.93398,1.40706,0.48601,0.48864,0.4335,0.28505,1.1055,2.20323,1.29629,0.00664657,0.00664657,0.00664657
3,192.321,1.20262,1.85106,1.4257,0.40876,0.36409,0.33892,0.22176,1.24412,2.66442,1.44468,0.0099786,0.0099786,0.0099786
4,254.06,1.28476,1.87918,1.4837,0.41053,0.35031,0.30139,0.15389,1.581,3.08482,1.78327,0.00999648,0.00999648,0.00999648
5,315.258,1.27284,1.82053,1.47118,0.38236,0.37747,0.35028,0.21049,1.43619,2.29599,1.5217,0.00999375,0.00999375,0.00999375
6,375.403,1.24246,1.75173,1.44755,0.48057,0.44283,0.38531,0.23639,1.34886,2.24338,1.47758,0.00999023,0.00999023,0.00999023
7,435.903,1.20843,1.70375,1.42552,0.39933,0.40367,0.3412,0.22721,1.24212,2.31034,1.40255,0.00998594,0.00998594,0.00998594
8,496.423,1.20806,1.64987,1.42169,0.53572,0.51226,0.47478,0.31424,1.25111,1.8249,1.44319,0.00998086,0.00998086,0.00998086
9,556.863,1.17681,1.6025,1.41629,0.49305,0.41632,0.38681,0.26091,1.2047,2.24042,1.41123,0.00997501,0.00997501,0.00997501
10,617.361,1.16731,1.55548,1.40075,0.41039,0.39621,0.39622,0.24293,1.40473,2.22843,1.57682,0.00996838,0.00996838,0.00996838
11,678.103,1.14914,1.50991,1.39589,0.52956,0.44437,0.46101,0.32415,1.20327,1.90384,1.4425,0.00996097,0.00996097,0.00996097
12,738.07,1.13747,1.46803,1.3924,0.52758,0.48847,0.47179,0.32769,1.12735,1.88604,1.32172,0.00995278,0.00995278,0.00995278
13,798.615,1.13004,1.44728,1.37843,0.40087,0.39403,0.40064,0.27892,1.17382,2.64428,1.39289,0.00994383,0.00994383,0.00994383
14,858.841,1.11324,1.42858,1.35757,0.58052,0.50418,0.5279,0.37998,1.07785,1.60184,1.28515,0.0099341,0.0099341,0.0099341
15,919.096,1.11878,1.41212,1.36955,0.59179,0.48835,0.51515,0.38018,1.09524,1.70381,1.34114,0.00992359,0.00992359,0.00992359
16,979.744,1.09718,1.37479,1.35499,0.56143,0.49586,0.55131,0.40178,1.06835,1.63314,1.29204,0.00991232,0.00991232,0.00991232
17,1040.66,1.11043,1.37014,1.36221,0.5342,0.50888,0.50725,0.32608,1.11918,1.64722,1.33155,0.00990028,0.00990028,0.00990028
18,1101.17,1.09669,1.36316,1.35591,0.58623,0.4394,0.49305,0.35964,1.1193,1.90581,1.37249,0.00988748,0.00988748,0.00988748
19,1161.62,1.08188,1.32677,1.35136,0.52172,0.53739,0.53677,0.38427,1.10431,1.7434,1.35109,0.00987391,0.00987391,0.00987391
20,1222.42,1.06861,1.29442,1.33782,0.53846,0.47571,0.48715,0.33642,1.1919,2.03652,1.35015,0.00985958,0.00985958,0.00985958
21,1283.09,1.06289,1.26842,1.33236,0.55629,0.49596,0.53417,0.38461,1.04692,1.73406,1.30082,0.00984449,0.00984449,0.00984449
22,1343.63,1.05866,1.25615,1.33277,0.64215,0.48637,0.55801,0.40902,1.07605,1.5627,1.28152,0.00982864,0.00982864,0.00982864
23,1404.22,1.03602,1.24583,1.31578,0.52597,0.56966,0.53213,0.38827,1.0325,1.58883,1.26211,0.00981204,0.00981204,0.00981204
24,1464.85,1.05256,1.22965,1.33548,0.72744,0.46403,0.5516,0.40244,1.07223,1.64536,1.33083,0.00979468,0.00979468,0.00979468
25,1525.21,1.02387,1.19904,1.30874,0.57602,0.51212,0.55535,0.40713,1.04341,1.65996,1.27566,0.00977658,0.00977658,0.00977658
26,1588.49,1.00632,1.18373,1.29875,0.61636,0.48639,0.5443,0.39083,1.03688,1.59246,1.29406,0.00975773,0.00975773,0.00975773
27,1650.11,1.01726,1.16847,1.30314,0.58394,0.54552,0.54674,0.40492,1.04931,1.52004,1.28449,0.00973814,0.00973814,0.00973814
28,1711.48,1.01581,1.16541,1.30698,0.54662,0.51913,0.52188,0.39377,0.99873,1.67457,1.2808,0.0097178,0.0097178,0.0097178
29,1773.1,1.02612,1.14978,1.30843,0.52559,0.48798,0.50109,0.36626,1.05185,1.94209,1.26421,0.00969673,0.00969673,0.00969673
30,1834.99,0.98823,1.11815,1.28244,0.65179,0.56142,0.62923,0.41034,1.13732,1.3287,1.33613,0.00967493,0.00967493,0.00967493
31,1895.76,1.00482,1.10835,1.29293,0.61139,0.43998,0.54638,0.41653,0.97855,1.61251,1.2255,0.00965239,0.00965239,0.00965239
32,1956.82,1.00323,1.10821,1.28277,0.64596,0.5494,0.58133,0.42204,1.00867,1.35347,1.26242,0.00962913,0.00962913,0.00962913
33,2017.03,1.00627,1.11534,1.28884,0.57969,0.54233,0.56611,0.42107,1.04688,1.47445,1.29789,0.00960515,0.00960515,0.00960515
34,2077.37,0.98867,1.09455,1.28409,0.54556,0.53361,0.56729,0.42205,0.9906,1.5762,1.23575,0.00958044,0.00958044,0.00958044
35,2137.72,0.99649,1.09374,1.28322,0.60716,0.58586,0.60076,0.45177,0.97537,1.33099,1.20491,0.00955502,0.00955502,0.00955502
36,2197.97,0.97344,1.0577,1.26959,0.68093,0.57201,0.60464,0.44677,0.99999,1.24788,1.22776,0.00952889,0.00952889,0.00952889
37,2258.4,0.97316,1.05558,1.27031,0.71279,0.66664,0.66078,0.49299,0.94745,1.03766,1.18548,0.00950206,0.00950206,0.00950206
38,2319.34,0.97696,1.05561,1.27253,0.66958,0.56107,0.58155,0.43373,0.93862,1.31377,1.19671,0.00947452,0.00947452,0.00947452
39,2379.65,0.94589,1.02396,1.25337,0.66551,0.61988,0.63556,0.45614,1.02136,1.25747,1.22362,0.00944628,0.00944628,0.00944628
40,2440.15,0.97689,1.0543,1.2755,0.68919,0.48628,0.58282,0.43434,0.98317,1.52558,1.25462,0.00941734,0.00941734,0.00941734
41,2501.14,0.95847,1.01496,1.26007,0.63688,0.49684,0.56797,0.42075,0.99023,1.45038,1.24647,0.00938772,0.00938772,0.00938772
42,2561.77,0.92296,0.98054,1.24444,0.67517,0.60015,0.64432,0.45248,1.01781,1.12717,1.24193,0.00935741,0.00935741,0.00935741
43,2622.8,0.95338,1.00989,1.26259,0.60936,0.5987,0.6004,0.44772,1.0117,1.23399,1.2234,0.00932642,0.00932642,0.00932642
44,2684.18,0.949,0.99885,1.2497,0.60476,0.5025,0.57429,0.40151,1.05428,1.38568,1.2803,0.00929476,0.00929476,0.00929476
45,2744.98,0.95342,1.01148,1.25472,0.69844,0.59917,0.6775,0.48666,0.97247,1.15058,1.21919,0.00926242,0.00926242,0.00926242
46,2806.17,0.94682,0.98488,1.2473,0.67614,0.62818,0.64557,0.47626,0.92764,1.10861,1.17537,0.00922942,0.00922942,0.00922942
47,2866.67,0.9489,0.97372,1.25157,0.71356,0.63602,0.66406,0.47096,0.9889,1.16521,1.23414,0.00919576,0.00919576,0.00919576
48,2927.7,0.9415,0.98458,1.24785,0.597,0.52108,0.53515,0.40309,0.94069,1.55195,1.18528,0.00916145,0.00916145,0.00916145
49,2988.57,0.93408,0.97888,1.25064,0.69074,0.6128,0.6748,0.51042,0.9323,1.13398,1.1553,0.00912649,0.00912649,0.00912649
50,3050.48,0.92051,0.94902,1.23561,0.59099,0.58542,0.58677,0.45443,0.9903,1.54161,1.24501,0.00909088,0.00909088,0.00909088
51,3119.93,0.91824,0.93773,1.23559,0.77121,0.67458,0.73013,0.54541,0.90532,1.00202,1.13242,0.00905463,0.00905463,0.00905463
52,3181.8,0.91511,0.92887,1.22509,0.65096,0.59266,0.62403,0.47478,0.95773,1.17286,1.1955,0.00901776,0.00901776,0.00901776
53,3244.58,0.92418,0.9245,1.23209,0.74746,0.59592,0.68619,0.51173,0.94512,1.05022,1.17123,0.00898025,0.00898025,0.00898025
54,3308.79,0.91036,0.9167,1.23192,0.79304,0.64325,0.68993,0.53142,0.92592,1.02762,1.174,0.00894213,0.00894213,0.00894213
55,3370.91,0.91257,0.92016,1.23043,0.70823,0.65419,0.68125,0.51766,0.91466,1.08134,1.17162,0.00890339,0.00890339,0.00890339
56,3435.13,0.91353,0.92135,1.22625,0.70129,0.55306,0.63609,0.48821,0.92649,1.20469,1.15224,0.00886404,0.00886404,0.00886404
57,3498.25,0.90841,0.9127,1.22201,0.74408,0.68524,0.70341,0.53733,0.92487,0.93056,1.15608,0.00882409,0.00882409,0.00882409
58,3561.01,0.89366,0.88889,1.21816,0.68776,0.58274,0.63637,0.47598,0.97234,1.14811,1.18112,0.00878354,0.00878354,0.00878354
59,3624.38,0.90607,0.91593,1.22036,0.64851,0.60663,0.61078,0.46949,0.96142,1.29614,1.20064,0.00874241,0.00874241,0.00874241
60,3686.42,0.90448,0.88574,1.21881,0.77309,0.68169,0.74111,0.55291,0.91407,0.93194,1.16146,0.00870069,0.00870069,0.00870069
61,3749.3,0.89878,0.88384,1.21874,0.84742,0.5958,0.70863,0.5217,0.91739,0.9807,1.17532,0.00865839,0.00865839,0.00865839
62,3813.72,0.9062,0.89554,1.21791,0.71479,0.54515,0.64098,0.48273,0.9435,1.17364,1.18179,0.00861553,0.00861553,0.00861553
63,3876.83,0.88481,0.87686,1.21665,0.77144,0.64706,0.7082,0.53501,0.92817,0.94864,1.13305,0.0085721,0.0085721,0.0085721
64,3939.6,0.8862,0.86803,1.2133,0.81117,0.64092,0.73836,0.53769,0.94186,1.03665,1.15919,0.00852812,0.00852812,0.00852812
65,4002.88,0.89098,0.86034,1.21017,0.62016,0.59283,0.61644,0.48059,0.87621,1.34405,1.12819,0.00848358,0.00848358,0.00848358
66,4065.8,0.879,0.85882,1.20725,0.70746,0.51682,0.59515,0.47269,0.93898,1.3212,1.1886,0.00843851,0.00843851,0.00843851
67,4128.52,0.88191,0.85191,1.20279,0.61416,0.69192,0.67062,0.50927,0.94034,1.13565,1.18197,0.0083929,0.0083929,0.0083929
68,4191.55,0.8822,0.84241,1.19701,0.77507,0.62113,0.68975,0.52991,0.91433,1.05836,1.12844,0.00834676,0.00834676,0.00834676
69,4254.48,0.86457,0.81512,1.19118,0.74301,0.6878,0.70779,0.53537,0.9457,1.01374,1.16529,0.0083001,0.0083001,0.0083001
70,4316.27,0.86222,0.80833,1.19213,0.66958,0.59849,0.63491,0.49111,0.94446,1.18282,1.19311,0.00825293,0.00825293,0.00825293
71,4375.9,0.87798,0.82467,1.20271,0.79324,0.60205,0.67639,0.51745,0.94495,1.05929,1.1581,0.00820525,0.00820525,0.00820525
72,4435.9,0.86706,0.82511,1.1999,0.79459,0.59947,0.6792,0.52081,0.90089,1.09493,1.1526,0.00815707,0.00815707,0.00815707
73,4496,0.86567,0.80436,1.19246,0.80694,0.73253,0.77183,0.58714,0.85873,0.86457,1.12094,0.00810841,0.00810841,0.00810841
74,4556.42,0.85481,0.80426,1.1908,0.84144,0.60494,0.7024,0.53124,0.91512,1.06602,1.14134,0.00805925,0.00805925,0.00805925
75,4616.41,0.84674,0.79456,1.18896,0.84343,0.64113,0.76097,0.57106,0.94297,0.82026,1.16376,0.00800963,0.00800963,0.00800963
76,4676.58,0.8594,0.78519,1.1892,0.70817,0.64648,0.71844,0.54898,0.92411,1.02874,1.16317,0.00795954,0.00795954,0.00795954
77,4736.11,0.86369,0.81912,1.19317,0.7239,0.64718,0.69083,0.52126,0.9022,1.13937,1.15075,0.00790898,0.00790898,0.00790898
78,4795.44,0.85819,0.81078,1.194,0.74839,0.61301,0.66542,0.52822,0.8776,1.10173,1.15306,0.00785798,0.00785798,0.00785798
79,4855.42,0.84558,0.78731,1.18362,0.72315,0.73426,0.73038,0.55046,0.8661,0.97689,1.09513,0.00780653,0.00780653,0.00780653
80,4915.35,0.84966,0.78936,1.1788,0.79135,0.64058,0.70608,0.54111,0.94267,1.04604,1.19141,0.00775465,0.00775465,0.00775465
81,4975.01,0.84289,0.77841,1.17604,0.68961,0.64086,0.66844,0.52724,0.90378,1.17906,1.16024,0.00770234,0.00770234,0.00770234
82,5034.79,0.83962,0.78526,1.17876,0.73246,0.58205,0.65036,0.49597,1.00265,1.24657,1.23013,0.00764961,0.00764961,0.00764961
83,5094.66,0.85147,0.78382,1.18207,0.72493,0.60105,0.63842,0.49819,0.93163,1.15882,1.16627,0.00759648,0.00759648,0.00759648
84,5153.93,0.84542,0.78288,1.17911,0.83786,0.59974,0.72414,0.55133,0.92101,0.9487,1.15327,0.00754293,0.00754293,0.00754293
85,5213.24,0.82439,0.7601,1.1715,0.6733,0.57248,0.6429,0.50122,0.93225,1.20244,1.1796,0.007489,0.007489,0.007489
86,5272.99,0.82594,0.75955,1.1755,0.65039,0.66312,0.64462,0.50966,0.97496,1.12598,1.20713,0.00743468,0.00743468,0.00743468
87,5332.53,0.83005,0.7565,1.17452,0.78095,0.63834,0.69188,0.53182,0.90438,0.91357,1.14384,0.00737998,0.00737998,0.00737998
88,5391.97,0.83742,0.75973,1.17535,0.7419,0.68662,0.7019,0.54721,0.89356,0.96738,1.14234,0.00732492,0.00732492,0.00732492
89,5451.38,0.83217,0.75912,1.1775,0.67189,0.67162,0.6839,0.51537,0.93524,1.09777,1.16384,0.0072695,0.0072695,0.0072695
90,5510.94,0.82767,0.75152,1.16692,0.70896,0.60274,0.66844,0.50876,0.9432,1.02414,1.18405,0.00721372,0.00721372,0.00721372
91,5570.32,0.82429,0.74884,1.16666,0.79135,0.69799,0.73645,0.54597,0.93523,0.90534,1.18553,0.00715761,0.00715761,0.00715761
92,5629.49,0.82194,0.72845,1.16532,0.78473,0.63987,0.71512,0.54966,0.91302,0.903,1.14843,0.00710116,0.00710116,0.00710116
93,5688.94,0.8186,0.73127,1.16906,0.77251,0.64213,0.71095,0.5449,0.9208,0.97632,1.15935,0.00704439,0.00704439,0.00704439
94,5748.35,0.81327,0.73186,1.16157,0.68361,0.6712,0.67997,0.5077,0.92559,1.09166,1.15213,0.0069873,0.0069873,0.0069873
95,5807.57,0.81347,0.71269,1.15906,0.76423,0.71876,0.75838,0.5671,0.92306,0.87696,1.14711,0.00692991,0.00692991,0.00692991
96,5867.22,0.8078,0.71387,1.15854,0.8046,0.66769,0.70766,0.54495,0.90719,0.9576,1.16023,0.00687222,0.00687222,0.00687222
97,5926.48,0.81126,0.72514,1.15718,0.79519,0.65112,0.72403,0.54237,0.94636,0.97051,1.16942,0.00681424,0.00681424,0.00681424
98,5986.01,0.80681,0.71963,1.15981,0.70389,0.63598,0.67411,0.52633,0.93422,1.17278,1.18923,0.00675598,0.00675598,0.00675598
99,6045.31,0.79888,0.71495,1.14922,0.7831,0.72072,0.76579,0.59056,0.88133,0.89059,1.13024,0.00669746,0.00669746,0.00669746
100,6104.58,0.80392,0.70806,1.15456,0.75231,0.69124,0.71667,0.55091,0.90683,0.94872,1.1526,0.00663867,0.00663867,0.00663867
101,6163.68,0.79485,0.70849,1.1503,0.80761,0.66138,0.74755,0.55665,0.91961,0.91085,1.15746,0.00657963,0.00657963,0.00657963
102,6223.11,0.7893,0.69502,1.14003,0.7794,0.63345,0.69472,0.5375,0.88599,1.02139,1.1383,0.00652036,0.00652036,0.00652036
103,6282.21,0.79034,0.68486,1.14381,0.79498,0.67517,0.70468,0.54753,0.89267,0.94815,1.13377,0.00646085,0.00646085,0.00646085
104,6341.5,0.78294,0.68165,1.14645,0.77166,0.65759,0.74767,0.5682,0.90247,0.89847,1.12883,0.00640111,0.00640111,0.00640111
105,6400.64,0.79207,0.68687,1.1447,0.83101,0.64015,0.75705,0.57327,0.88023,0.93342,1.128,0.00634117,0.00634117,0.00634117
106,6460.3,0.78293,0.67799,1.14205,0.73684,0.66398,0.72114,0.55203,0.95419,1.00596,1.20196,0.00628101,0.00628101,0.00628101
107,6519.58,0.77525,0.68077,1.14854,0.82004,0.61718,0.68356,0.52792,0.93472,0.98864,1.15506,0.00622067,0.00622067,0.00622067
108,6578.77,0.78201,0.69019,1.14173,0.85543,0.68976,0.76442,0.58656,0.88862,0.92619,1.12953,0.00616014,0.00616014,0.00616014
109,6638.13,0.77888,0.68736,1.14663,0.83208,0.66211,0.74107,0.56267,0.90582,0.96823,1.14712,0.00609944,0.00609944,0.00609944
110,6698.24,0.77407,0.66653,1.138,0.74436,0.64356,0.6903,0.54093,0.88058,1.16095,1.12542,0.00603856,0.00603856,0.00603856
111,6758.61,0.7744,0.66966,1.13994,0.79722,0.71233,0.7378,0.57122,0.92579,0.99283,1.15811,0.00597754,0.00597754,0.00597754
112,6818.43,0.76938,0.6616,1.13585,0.80172,0.62011,0.70462,0.5457,0.9309,1.11284,1.18022,0.00591636,0.00591636,0.00591636
113,6878.2,0.78277,0.67308,1.13879,0.77938,0.66079,0.70041,0.53601,0.92206,1.06538,1.15568,0.00585505,0.00585505,0.00585505
114,6938.45,0.76599,0.66652,1.13393,0.77299,0.62865,0.68621,0.53721,0.89773,1.12674,1.1604,0.00579362,0.00579362,0.00579362
115,6997.85,0.77326,0.65976,1.13732,0.76163,0.70995,0.73827,0.56042,0.91807,0.92793,1.15345,0.00573206,0.00573206,0.00573206
116,7056.81,0.76896,0.64595,1.13518,0.71964,0.64669,0.68881,0.54433,0.87863,1.12958,1.13894,0.0056704,0.0056704,0.0056704
117,7116.23,0.76317,0.64915,1.13713,0.71248,0.71452,0.7205,0.54805,0.91076,0.95752,1.16133,0.00560864,0.00560864,0.00560864
118,7175.85,0.76206,0.64487,1.1291,0.76672,0.67877,0.71961,0.56166,0.87783,0.97881,1.13778,0.00554679,0.00554679,0.00554679
119,7235.18,0.76233,0.65143,1.12391,0.75916,0.64837,0.70892,0.56096,0.88417,0.96628,1.14788,0.00548486,0.00548486,0.00548486
120,7294.62,0.7656,0.65931,1.13447,0.69499,0.62656,0.68786,0.53659,0.91713,1.05739,1.17725,0.00542287,0.00542287,0.00542287
121,7354.03,0.75093,0.63489,1.11927,0.74901,0.57574,0.65752,0.5116,0.9165,1.14742,1.17585,0.00536081,0.00536081,0.00536081
122,7413.19,0.74555,0.62535,1.11523,0.86573,0.59202,0.72194,0.55155,0.89498,0.92089,1.14,0.00529871,0.00529871,0.00529871
123,7472.38,0.76285,0.63697,1.12697,0.82983,0.62812,0.72569,0.55285,0.87204,0.95485,1.11525,0.00523657,0.00523657,0.00523657
124,7531.59,0.75563,0.63492,1.1227,0.77681,0.74378,0.76599,0.59506,0.88599,0.88194,1.12739,0.00517439,0.00517439,0.00517439
125,7590.98,0.74728,0.63101,1.12331,0.80302,0.68524,0.74877,0.57077,0.90714,0.95042,1.12791,0.0051122,0.0051122,0.0051122
126,7650.93,0.74557,0.62066,1.1181,0.88728,0.71006,0.79119,0.59723,0.9027,0.82913,1.14708,0.00505,0.00505,0.00505
127,7710.78,0.72503,0.61548,1.1165,0.82169,0.72042,0.74977,0.5717,0.90466,0.87433,1.14183,0.0049878,0.0049878,0.0049878
128,7770.57,0.73691,0.63333,1.11986,0.79639,0.69913,0.73457,0.56527,0.91089,0.93777,1.14488,0.00492561,0.00492561,0.00492561
129,7830.35,0.74079,0.63043,1.1197,0.81967,0.7028,0.76268,0.58051,0.91893,0.89919,1.14977,0.00486343,0.00486343,0.00486343
130,7890.19,0.72833,0.61283,1.10938,0.92079,0.66993,0.79569,0.59565,0.89686,0.80871,1.11597,0.00480129,0.00480129,0.00480129
131,7950.24,0.73354,0.60532,1.11568,0.83697,0.72059,0.78826,0.60395,0.91776,0.8406,1.14577,0.00473919,0.00473919,0.00473919
132,8010.46,0.71893,0.60331,1.10396,0.79403,0.64163,0.73398,0.5672,0.91901,0.99047,1.16497,0.00467713,0.00467713,0.00467713
133,8070.51,0.71951,0.5981,1.10355,0.86455,0.6806,0.76678,0.58042,0.91612,0.8779,1.16434,0.00461514,0.00461514,0.00461514
134,8130.13,0.72655,0.6031,1.10926,0.8345,0.65411,0.74965,0.58005,0.91136,0.89355,1.14369,0.00455321,0.00455321,0.00455321
135,8189.94,0.72334,0.59251,1.1061,0.79885,0.66426,0.73492,0.55274,0.92764,0.92817,1.16497,0.00449136,0.00449136,0.00449136
136,8249.86,0.72714,0.59991,1.11197,0.76613,0.66015,0.72593,0.56047,0.93168,0.95229,1.1655,0.0044296,0.0044296,0.0044296
137,8309.85,0.70664,0.59143,1.10426,0.78199,0.68495,0.74845,0.57115,0.91077,0.86474,1.1409,0.00436794,0.00436794,0.00436794
138,8369.58,0.70929,0.58931,1.09819,0.77508,0.69231,0.73657,0.56849,0.92703,0.87356,1.16118,0.00430638,0.00430638,0.00430638
139,8429.27,0.73171,0.58769,1.10674,0.76015,0.68863,0.73759,0.56899,0.92986,0.96437,1.16249,0.00424495,0.00424495,0.00424495
140,8488.46,0.71244,0.57605,1.10846,0.8041,0.68656,0.76743,0.5894,0.91792,0.87078,1.16763,0.00418364,0.00418364,0.00418364
141,8547.72,0.71026,0.58643,1.09876,0.84874,0.62542,0.74844,0.57803,0.90899,0.96231,1.15451,0.00412246,0.00412246,0.00412246
142,8607.41,0.71445,0.58439,1.10054,0.79918,0.71199,0.77633,0.60491,0.90207,0.84273,1.1542,0.00406144,0.00406144,0.00406144
143,8666.75,0.69858,0.58072,1.09551,0.85853,0.65064,0.75255,0.57928,0.89316,0.88317,1.1401,0.00400056,0.00400056,0.00400056
144,8726.09,0.72811,0.59236,1.11229,0.82861,0.63673,0.73874,0.57289,0.91111,0.95626,1.16127,0.00393986,0.00393986,0.00393986
145,8785.28,0.72139,0.58302,1.10209,0.81143,0.64132,0.72306,0.54795,0.91582,0.99325,1.1667,0.00387933,0.00387933,0.00387933
146,8845.09,0.69556,0.56084,1.09315,0.79864,0.68919,0.76132,0.59084,0.87781,0.90557,1.13752,0.00381899,0.00381899,0.00381899
147,8905.02,0.68513,0.56403,1.0882,0.79,0.70785,0.771,0.58975,0.88579,0.85015,1.1369,0.00375883,0.00375883,0.00375883
148,8965.02,0.68532,0.55755,1.09106,0.81795,0.67718,0.75373,0.58142,0.90058,0.92277,1.15529,0.00369889,0.00369889,0.00369889
149,9025.17,0.7016,0.55746,1.0902,0.82035,0.67979,0.77021,0.59057,0.88381,0.90742,1.11551,0.00363915,0.00363915,0.00363915
150,9085.27,0.69928,0.57505,1.09451,0.7859,0.715,0.76198,0.58453,0.888,0.90592,1.1212,0.00357964,0.00357964,0.00357964
151,9144.57,0.69603,0.5717,1.09567,0.84561,0.68564,0.76905,0.59013,0.87975,0.88124,1.11429,0.00352037,0.00352037,0.00352037
152,9204.03,0.69622,0.55572,1.09197,0.82085,0.67842,0.75469,0.57978,0.90455,0.90844,1.14683,0.00346133,0.00346133,0.00346133
153,9263.47,0.69475,0.55082,1.08875,0.86248,0.68399,0.76799,0.58058,0.89825,0.94525,1.13401,0.00340254,0.00340254,0.00340254
154,9322.98,0.68876,0.54757,1.09077,0.89965,0.70139,0.78747,0.59873,0.86564,0.80468,1.11473,0.00334402,0.00334402,0.00334402
155,9382.29,0.68074,0.54754,1.0856,0.8093,0.73637,0.78081,0.59831,0.88169,0.84077,1.12207,0.00328576,0.00328576,0.00328576
156,9441.52,0.68944,0.55194,1.09378,0.83729,0.69545,0.76466,0.59102,0.88203,0.89508,1.11888,0.00322778,0.00322778,0.00322778
157,9500.74,0.68277,0.54166,1.08309,0.84009,0.7345,0.77373,0.5996,0.8775,0.86524,1.12209,0.00317009,0.00317009,0.00317009
158,9560.11,0.67902,0.53556,1.09282,0.89115,0.70377,0.79103,0.60549,0.89621,0.85941,1.1423,0.0031127,0.0031127,0.0031127
159,9619.71,0.67823,0.54323,1.08223,0.78052,0.73727,0.76763,0.585,0.90832,0.92116,1.16684,0.00305561,0.00305561,0.00305561
160,9679.12,0.6753,0.53897,1.07942,0.88547,0.70082,0.7884,0.60092,0.89244,0.82909,1.14431,0.00299884,0.00299884,0.00299884
161,9738.81,0.67041,0.54128,1.07912,0.83909,0.69545,0.76236,0.58436,0.87579,0.90431,1.12728,0.00294239,0.00294239,0.00294239
162,9798.05,0.66898,0.53043,1.07717,0.8746,0.69261,0.76192,0.5863,0.88712,0.88673,1.13392,0.00288628,0.00288628,0.00288628
163,9857.4,0.6688,0.53013,1.08198,0.86022,0.68283,0.76785,0.59249,0.88094,0.90038,1.12786,0.0028305,0.0028305,0.0028305
164,9916.9,0.65802,0.52427,1.07146,0.78641,0.69731,0.75298,0.57319,0.88332,0.89802,1.13091,0.00277508,0.00277508,0.00277508
165,9976.33,0.67094,0.52684,1.07531,0.83224,0.71249,0.78096,0.59748,0.87951,0.8552,1.12498,0.00272002,0.00272002,0.00272002
166,10036.5,0.66377,0.52905,1.07942,0.87839,0.67935,0.77669,0.59264,0.87029,0.89524,1.09637,0.00266532,0.00266532,0.00266532
167,10096.4,0.65983,0.52144,1.07195,0.8877,0.69169,0.78101,0.5998,0.87903,0.86784,1.11252,0.002611,0.002611,0.002611
168,10156.3,0.66742,0.51772,1.0742,0.88569,0.73726,0.78396,0.60348,0.88208,0.82748,1.11887,0.00255707,0.00255707,0.00255707
169,10216.5,0.65597,0.52301,1.07346,0.90049,0.67034,0.76701,0.59831,0.89237,0.90431,1.13051,0.00250352,0.00250352,0.00250352
170,10276.1,0.65575,0.52616,1.07474,0.90824,0.6724,0.77296,0.59982,0.89778,0.87953,1.14398,0.00245039,0.00245039,0.00245039
171,10335.5,0.64972,0.51687,1.07059,0.82918,0.70746,0.76955,0.60129,0.87044,0.88989,1.11774,0.00239766,0.00239766,0.00239766
172,10394.8,0.65351,0.51101,1.06932,0.76749,0.69036,0.73574,0.57225,0.88525,0.99093,1.13233,0.00234535,0.00234535,0.00234535
173,10454.3,0.64885,0.51253,1.06768,0.84527,0.69218,0.75891,0.58817,0.8651,0.88947,1.11207,0.00229347,0.00229347,0.00229347
174,10514,0.66111,0.52597,1.07573,0.83242,0.69021,0.74209,0.5827,0.86121,0.90776,1.09862,0.00224202,0.00224202,0.00224202
175,10573.4,0.64937,0.51537,1.06655,0.8043,0.67896,0.7367,0.5712,0.88674,0.96316,1.12798,0.00219102,0.00219102,0.00219102
176,10632.8,0.64671,0.51058,1.06798,0.79177,0.66746,0.73264,0.57034,0.8941,0.97501,1.13592,0.00214046,0.00214046,0.00214046
177,10692,0.64857,0.51113,1.06623,0.76745,0.66455,0.71611,0.55934,0.88175,1.04192,1.12608,0.00209037,0.00209037,0.00209037
178,10751.2,0.63344,0.49546,1.06259,0.80715,0.67297,0.72809,0.56656,0.88375,1.04258,1.13005,0.00204075,0.00204075,0.00204075
179,10810.8,0.64708,0.50792,1.07112,0.79674,0.68538,0.73607,0.57624,0.88852,1.04146,1.13518,0.00199159,0.00199159,0.00199159
